epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,1.048007e+03,,1.000000e-07,34.00,465.327
1,9.220736e+02,,2.008000e-05,14.00,16.244
2,6.896939e+02,,4.006000e-05,14.00,14.991
3,4.502654e+02,,6.004000e-05,15.00,15.061
4,3.565241e+02,,8.002000e-05,79.00,15.234
5,2.543853e+02,,1.000000e-04,49.00,15.230
6,1.823751e+02,,9.755283e-05,17.00,15.232
7,1.390702e+02,,9.045085e-05,15.00,15.235
8,1.203740e+02,,7.938926e-05,15.00,15.236
9,1.018196e+02,,6.545085e-05,14.00,15.240
10,9.339686e+01,,5.000000e-05,37.00,15.244
11,8.533045e+01,,3.454915e-05,15.00,15.076
12,8.407290e+01,,2.061074e-05,15.00,14.711
13,8.068004e+01,,9.549150e-06,15.00,14.715
14,8.266944e+01,,2.447174e-06,90.00,14.714
15,7.732543e+01,,1.000000e-04,17.00,14.715
16,6.736979e+01,,9.938442e-05,49.00,14.715
17,6.198381e+01,,9.755283e-05,17.00,14.717
18,5.710346e+01,,9.455033e-05,13.00,14.716
19,5.323766e+01,5.719504e+01,9.045085e-05,0.00,32.292
20,5.101285e+01,,8.535534e-05,13.00,14.876
21,4.883302e+01,,7.938926e-05,13.00,14.699
22,5.026799e+01,,7.269952e-05,14.00,14.701
23,4.581066e+01,,6.545085e-05,17.00,14.698
24,3.766043e+01,,5.782172e-05,17.00,14.703
25,3.779271e+01,,5.000000e-05,17.00,14.704
26,3.534082e+01,,4.217828e-05,15.00,14.700
27,3.456684e+01,,3.454915e-05,56.00,14.695
28,3.359364e+01,,2.730048e-05,15.00,14.702
29,3.219964e+01,,2.061074e-05,46.00,14.704
30,3.152258e+01,,1.464466e-05,15.00,14.699
31,3.145716e+01,,9.549150e-06,39.00,14.697
32,3.132831e+01,,5.449674e-06,15.00,14.694
33,3.145649e+01,,2.447174e-06,33.00,14.701
34,3.134827e+01,,6.155830e-07,15.00,14.704
35,8.619348e+01,,1.000000e-04,21.00,14.696
36,2.503432e+02,,9.984587e-05,15.00,14.695
37,1.577572e+02,,9.938442e-05,22.00,14.693
38,1.641092e+02,,9.861850e-05,20.00,14.693
39,1.562712e+02,1.172656e+02,9.755283e-05,12.00,17.256
40,1.054547e+02,,9.619398e-05,13.00,14.690
41,6.854710e+01,,9.455033e-05,12.00,14.893
42,4.800071e+01,,9.263201e-05,17.00,15.235
43,3.756422e+01,,9.045085e-05,63.00,15.236
44,2.901212e+01,,8.802030e-05,33.00,15.231
45,2.670438e+01,,8.535534e-05,12.00,15.231
46,2.408672e+01,,8.247240e-05,13.00,15.235
47,2.206491e+01,,7.938926e-05,17.00,15.230
48,2.085731e+01,,7.612493e-05,15.00,15.231
49,2.024948e+01,,7.269952e-05,10.00,15.237
50,1.906071e+01,,6.913417e-05,11.00,15.235
51,1.834095e+01,,6.545085e-05,51.00,15.235
52,1.790594e+01,,6.167227e-05,19.00,15.232
53,1.749290e+01,,5.782172e-05,15.00,15.242
54,1.696670e+01,,5.392295e-05,15.00,15.241
55,1.652455e+01,,5.000000e-05,65.00,15.245
56,1.648238e+01,,4.607705e-05,26.00,15.242
57,1.607198e+01,,4.217828e-05,15.00,15.054
58,1.578756e+01,,3.832773e-05,14.00,15.061
59,1.561722e+01,1.514500e+01,3.454915e-05,0.00,17.999
60,1.534601e+01,,3.086583e-05,15.00,14.702
61,1.496587e+01,,2.730048e-05,15.00,14.694
62,1.502716e+01,,2.387507e-05,15.00,14.697
63,1.474868e+01,,2.061074e-05,68.00,14.708
64,1.470820e+01,,1.752760e-05,13.00,14.712
65,1.443645e+01,,1.464466e-05,31.00,14.720
66,1.437238e+01,,1.197970e-05,17.00,14.713
67,1.447517e+01,,9.549150e-06,13.00,14.709
68,1.398319e+01,,7.367992e-06,17.00,14.717
69,1.419303e+01,,5.449674e-06,11.00,14.717
70,1.415749e+01,,3.806023e-06,31.00,14.715
71,1.404659e+01,,2.447174e-06,16.00,14.715
72,1.411352e+01,,1.381504e-06,15.00,14.711
73,1.400523e+01,,6.155830e-07,17.00,14.706
74,1.407882e+01,,1.541333e-07,17.00,14.709
75,2.204807e+01,,1.000000e-04,16.00,14.703
76,3.303560e+01,,9.996145e-05,12.00,14.706
77,3.650971e+01,,9.984587e-05,15.00,14.705
78,2.946018e+01,,9.965342e-05,24.00,14.708
79,3.238954e+01,2.633848e+01,9.938442e-05,15.00,17.032
80,2.930026e+01,,9.903926e-05,15.00,14.705
81,2.071306e+01,,9.861850e-05,50.00,14.708
82,1.804099e+01,,9.812276e-05,15.00,14.704
83,1.737255e+01,,9.755283e-05,35.00,14.702
84,3.075590e+01,,9.690957e-05,15.00,14.704
85,2.343359e+01,,9.619398e-05,20.00,14.699
86,2.956913e+01,,9.540716e-05,15.00,14.704
87,4.182308e+01,,9.455033e-05,15.00,14.700
88,1.746738e+01,,9.362480e-05,16.00,14.700
89,1.592663e+01,,9.263201e-05,85.00,14.701
90,2.336242e+01,,9.157348e-05,17.00,14.699
91,1.948622e+01,,9.045085e-05,74.00,14.699
92,1.656501e+01,,8.926585e-05,17.00,14.699
93,2.323609e+01,,8.802030e-05,66.00,14.697
94,1.996570e+01,,8.671613e-05,17.00,14.701
95,3.560371e+01,,8.535534e-05,49.00,14.905
96,2.434769e+01,,8.394004e-05,14.00,15.147
97,2.820713e+01,,8.247240e-05,13.00,15.141
98,2.086535e+01,,8.095470e-05,10.00,15.148
99,1.649334e+01,1.377479e+01,7.938926e-05,2.00,18.149
