epoch,curr_step,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,2,7.016612e-02,6.271287e-02,1.000000e-08,0.00,210.097
1,2,6.247181e-02,6.692662e-02,1.000000e-08,93.00,64.778
2,2,6.996490e-02,6.599122e-02,1.000000e-08,94.00,66.364
3,2,6.939946e-02,6.939219e-02,1.000000e-08,100.00,66.247
4,2,6.999093e-02,5.998697e-02,1.000000e-08,0.00,66.929
5,3,1.027729e-01,9.730499e-02,1.000000e-08,0.00,78.169
6,3,9.964976e-02,1.052418e-01,1.000000e-08,94.00,77.249
7,3,1.006506e-01,9.555920e-02,1.000000e-08,0.00,77.540
8,3,1.021401e-01,1.066360e-01,1.000000e-08,92.00,77.555
9,3,1.008901e-01,9.080074e-02,1.000000e-08,0.00,77.357
10,4,1.520243e-01,1.531190e-01,1.000000e-08,0.00,90.506
11,4,1.498415e-01,1.488695e-01,1.000000e-08,0.00,89.883
12,4,1.341845e-01,1.287189e-01,1.000000e-08,0.00,86.478
13,4,1.465696e-01,1.509532e-01,1.000000e-08,94.00,88.982
14,4,1.432456e-01,1.358562e-01,1.000000e-08,95.00,87.902
15,5,2.026214e-01,1.878057e-01,1.000000e-08,0.00,97.665
16,5,1.912808e-01,2.228914e-01,1.000000e-08,100.00,95.844
17,5,2.179644e-01,1.974206e-01,1.000000e-08,100.00,100.012
18,5,1.984715e-01,2.211459e-01,1.000000e-08,93.00,98.333
19,5,2.001998e-01,2.115690e-01,1.000000e-08,100.00,97.665
20,6,2.674091e-01,2.883500e-01,1.000000e-08,0.00,108.208
21,6,2.684644e-01,3.177731e-01,1.000000e-08,100.00,106.270
22,6,2.950738e-01,3.195436e-01,1.000000e-08,95.00,109.639
23,6,2.865782e-01,2.137553e-01,1.000000e-08,0.00,109.237
24,6,2.911355e-01,5.557904e+13,1.000000e-08,95.00,110.056
25,7,3.684135e-01,3.514765e-01,1.000000e-08,0.00,120.962
26,7,3.781974e-01,4.179304e-01,1.000000e-08,100.00,122.800
27,7,3.907925e-01,3.207191e-01,1.000000e-08,0.00,121.750
28,7,3.531214e-01,3.647794e-01,1.000000e-08,100.00,119.115
29,7,3.774666e-01,3.764360e-01,1.000000e-08,100.00,122.046
30,8,4.455211e-01,4.089907e-01,1.000000e-08,0.00,132.324
31,8,4.222565e-01,4.561696e-01,1.000000e-08,95.00,129.316
32,8,4.572374e-01,5.024860e-01,1.000000e-08,100.00,131.551
33,8,4.274516e-01,4.814750e-01,1.000000e-08,100.00,131.284
34,8,1.473235e+02,4.475232e-01,1.000000e-08,96.00,129.485
35,9,5.086942e+02,5.401341e-01,1.000000e-08,0.00,142.874
36,9,5.271036e-01,6.664338e-01,1.000000e-08,100.00,142.752
