epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,1.587649e+02,,8.000000e-07,100.00,51.113
1,1.580966e+02,,8.792000e-06,100.00,14.870
2,1.512261e+02,,1.678400e-05,100.00,14.138
3,1.447590e+02,,2.477600e-05,100.00,14.025
4,1.338054e+02,,3.276800e-05,100.00,14.025
5,1.267928e+02,,4.076000e-05,100.00,14.025
6,1.231713e+02,,4.875200e-05,100.00,14.025
7,1.134307e+02,,5.674400e-05,100.00,14.027
8,1.126535e+02,,6.473600e-05,100.00,14.035
9,1.063488e+02,,7.272800e-05,100.00,13.887
10,1.060877e+02,,8.072000e-05,100.00,13.929
11,1.000983e+02,,8.871200e-05,100.00,13.936
12,9.926469e+01,,9.670400e-05,100.00,13.934
13,9.386002e+01,,1.046960e-04,100.00,13.931
14,8.884150e+01,,1.126880e-04,100.00,13.939
15,8.630564e+01,,1.206800e-04,100.00,13.934
16,8.076284e+01,,1.286720e-04,100.00,13.928
17,7.665576e+01,,1.366640e-04,100.00,13.926
18,7.363651e+01,,1.446560e-04,100.00,13.927
19,7.142119e+01,,1.526480e-04,100.00,13.930
20,6.813631e+01,,1.606400e-04,100.00,13.937
21,6.679733e+01,,1.686320e-04,100.00,13.899
22,6.262522e+01,,1.766240e-04,100.00,13.851
23,6.086322e+01,,1.846160e-04,100.00,13.770
24,5.952396e+01,,1.926080e-04,100.00,13.761
25,5.674625e+01,,2.006000e-04,100.00,13.763
26,5.346853e+01,,2.085920e-04,100.00,13.763
27,5.301072e+01,,2.165840e-04,100.00,13.773
28,4.944052e+01,,2.245760e-04,100.00,13.768
29,4.729383e+01,,2.325680e-04,100.00,13.768
30,4.630037e+01,,2.405600e-04,100.00,13.764
31,4.393237e+01,,2.485520e-04,100.00,13.768
32,4.271456e+01,,2.565440e-04,100.00,13.767
33,4.008288e+01,,2.645360e-04,100.00,13.863
34,4.094880e+01,,2.725280e-04,100.00,13.772
35,3.784818e+01,,2.805200e-04,100.00,13.764
36,3.606616e+01,,2.885120e-04,100.00,13.842
37,3.464188e+01,,2.965040e-04,100.00,13.865
38,3.493776e+01,,3.044960e-04,100.00,13.871
39,3.286391e+01,,3.124880e-04,100.00,13.865
40,3.173855e+01,,3.204800e-04,100.00,13.865
41,3.015332e+01,,3.284720e-04,100.00,13.879
42,2.845416e+01,,3.364640e-04,100.00,13.870
43,2.858371e+01,,3.444560e-04,100.00,13.867
44,2.704192e+01,,3.524480e-04,100.00,13.873
45,2.654252e+01,,3.604400e-04,100.00,13.871
46,2.872074e+01,,3.684320e-04,100.00,13.868
47,2.470590e+01,,3.764240e-04,100.00,13.864
48,2.529946e+01,,3.844160e-04,100.00,13.866
49,2.313901e+01,,3.924080e-04,100.00,13.769
50,2.383566e+01,,4.004000e-04,100.00,13.743
51,2.212721e+01,,4.083920e-04,100.00,13.746
52,2.100109e+01,,4.163840e-04,100.00,13.750
53,2.165790e+01,,4.243760e-04,100.00,13.750
54,1.984086e+01,,4.323680e-04,100.00,13.748
55,1.915496e+01,,4.403600e-04,100.00,13.749
56,1.897995e+01,,4.483520e-04,100.00,13.744
57,1.921113e+01,,4.563440e-04,100.00,13.745
58,1.746860e+01,,4.643360e-04,100.00,13.743
59,1.760153e+01,,4.723280e-04,100.00,13.737
60,1.896031e+01,,4.803200e-04,100.00,13.735
61,1.598173e+01,,4.883120e-04,100.00,13.744
62,1.642636e+01,,4.963040e-04,100.00,13.735
63,1.727875e+01,,5.042960e-04,100.00,13.735
64,1.630954e+01,,5.122880e-04,100.00,13.730
65,1.814040e+01,,5.202800e-04,100.00,13.731
