epoch,curr_step,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,1,2.644848e+01,,2.000000e-04,99.00,113.092
1,1,3.820431e+01,,1.999877e-04,100.00,16.127
2,1,2.335825e+01,,1.999507e-04,100.00,14.891
3,1,1.077798e+01,,1.998890e-04,100.00,14.536
4,1,9.412255e+00,7.983066e+00,1.998027e-04,100.00,43.487
5,1,7.201861e+00,,1.996917e-04,100.00,14.674
6,1,6.050222e+00,,1.995562e-04,100.00,14.518
7,1,4.355457e+00,,1.993961e-04,100.00,14.510
8,1,4.093479e+00,,1.992115e-04,100.00,14.510
9,1,3.150447e+00,2.995971e+00,1.990024e-04,10.00,17.257
10,1,2.541793e+00,,1.987688e-04,100.00,14.506
11,1,2.397941e+00,,1.985109e-04,100.00,14.505
12,1,2.641864e+00,,1.982287e-04,100.00,14.506
13,1,2.778367e+00,,1.979223e-04,100.00,14.501
14,1,3.846336e+00,2.080395e+00,1.975917e-04,51.00,17.011
15,1,2.785499e+00,,1.972370e-04,100.00,14.503
16,1,2.756732e+00,,1.968583e-04,100.00,14.492
17,1,2.558474e+00,,1.964557e-04,100.00,14.502
18,1,2.280857e+00,,1.960294e-04,100.00,14.595
19,1,2.309650e+00,2.727911e+00,1.955793e-04,15.00,16.968
20,1,2.346356e+00,,1.951057e-04,100.00,14.624
21,1,2.424613e+00,,1.946085e-04,100.00,14.628
22,1,2.595013e+00,,1.940881e-04,100.00,14.631
23,1,2.129034e+00,,1.935444e-04,100.00,14.614
24,1,2.036868e+00,1.987922e+00,1.929776e-04,0.00,39.741
25,1,2.302490e+00,,1.923880e-04,100.00,14.634
26,1,2.034209e+00,,1.917755e-04,100.00,14.629
27,1,2.271396e+00,,1.911403e-04,100.00,14.613
28,1,2.023670e+00,,1.904827e-04,100.00,14.550
29,1,2.060600e+00,2.365523e+00,1.898028e-04,17.00,16.932
30,1,2.061072e+00,,1.891007e-04,100.00,14.643
31,1,2.198257e+00,,1.883766e-04,100.00,14.636
32,1,2.235493e+00,,1.876307e-04,100.00,14.651
33,1,2.288446e+00,,1.868632e-04,100.00,14.528
34,1,1.991117e+00,2.949795e+00,1.860742e-04,37.00,16.819
35,1,2.559934e+00,,1.852640e-04,100.00,14.580
36,1,1.728100e+00,,1.844328e-04,100.00,14.656
37,1,1.771168e+00,,1.835807e-04,100.00,14.666
38,1,2.053709e+00,,1.827081e-04,100.00,14.663
39,1,1.930184e+00,1.642348e+00,1.818150e-04,73.00,17.188
40,1,1.824165e+00,,1.809017e-04,100.00,14.846
41,1,1.948254e+00,,1.799685e-04,100.00,14.665
42,1,1.572299e+00,,1.790155e-04,100.00,14.664
43,1,2.204535e+00,,1.780430e-04,100.00,14.660
44,1,1.935397e+00,1.512029e+00,1.770513e-04,74.00,17.175
45,1,1.613629e+00,,1.760406e-04,100.00,14.518
46,1,1.970648e+00,,1.750111e-04,100.00,14.491
47,1,1.307860e+00,,1.739631e-04,100.00,14.606
48,1,1.258891e+00,,1.728969e-04,100.00,14.655
49,1,1.168380e+00,1.458352e+00,1.718126e-04,53.00,17.257
50,2,4.790849e+00,,1.707107e-04,100.00,15.037
51,2,5.842647e+00,,1.695913e-04,100.00,15.060
52,2,4.409762e+00,,1.684547e-04,100.00,14.863
53,2,4.689123e+00,,1.673013e-04,100.00,14.974
54,2,3.590064e+00,1.931063e+00,1.661312e-04,60.00,17.115
55,2,5.783413e+00,,1.649448e-04,100.00,15.102
56,2,6.060237e+00,,1.637424e-04,100.00,14.903
57,2,7.869120e+00,,1.625243e-04,100.00,15.102
