epoch,train_loss,validation_loss,lr,gpu_utillization,per_epoch_time
0,5.082863e+02,,8.000000e-07,1.00,3.232
1,4.992406e+02,,8.792000e-06,1.00,0.093
2,4.388931e+02,,1.678400e-05,9.00,0.081
3,3.816266e+02,,2.477600e-05,9.00,0.079
4,3.739835e+02,,3.276800e-05,55.00,0.084
5,3.698008e+02,,4.076000e-05,55.00,0.080
6,3.403288e+02,,4.875200e-05,55.00,0.081
7,2.893409e+02,,5.674400e-05,49.00,0.078
8,2.749107e+02,,6.473600e-05,49.00,0.080
9,2.890759e+02,,7.272800e-05,60.00,0.079
10,2.606811e+02,,8.072000e-05,60.00,0.078
11,2.420516e+02,,8.871200e-05,60.00,0.079
12,2.271978e+02,,9.670400e-05,48.00,0.078
13,2.156981e+02,,1.046960e-04,48.00,0.081
14,1.994892e+02,,1.126880e-04,58.00,0.082
15,1.926297e+02,,1.206800e-04,58.00,0.079
16,1.768071e+02,,1.286720e-04,58.00,0.077
17,1.785889e+02,,1.366640e-04,48.00,0.079
18,1.603160e+02,,1.446560e-04,48.00,0.077
19,1.550285e+02,,1.526480e-04,60.00,0.079
20,1.463730e+02,,1.606400e-04,60.00,0.078
21,1.391250e+02,,1.686320e-04,60.00,0.079
22,1.357860e+02,,1.766240e-04,48.00,0.077
23,1.325760e+02,,1.846160e-04,48.00,0.077
24,1.268048e+02,,1.926080e-04,56.00,0.081
25,1.151191e+02,,2.006000e-04,56.00,0.084
26,1.128104e+02,,2.085920e-04,56.00,0.080
27,1.135822e+02,,2.165840e-04,47.00,0.082
28,1.053721e+02,,2.245760e-04,47.00,0.084
29,1.022154e+02,,2.325680e-04,57.00,0.086
30,1.018602e+02,,2.405600e-04,57.00,0.082
31,9.848285e+01,,2.485520e-04,57.00,0.078
32,9.066278e+01,,2.565440e-04,47.00,0.077
33,1.006647e+02,,2.645360e-04,47.00,0.077
34,8.631952e+01,,2.725280e-04,63.00,0.077
35,7.595259e+01,,2.805200e-04,63.00,0.077
36,8.170091e+01,,2.885120e-04,63.00,0.077
37,8.137039e+01,,2.965040e-04,49.00,0.077
38,7.261550e+01,,3.044960e-04,49.00,0.076
39,8.044390e+01,,3.124880e-04,60.00,0.081
40,8.415476e+01,,3.204800e-04,60.00,0.079
41,8.277355e+01,,3.284720e-04,60.00,0.084
42,7.067008e+01,,3.364640e-04,48.00,0.080
43,6.546676e+01,,3.444560e-04,48.00,0.085
44,7.268861e+01,,3.524480e-04,55.00,0.080
45,6.624431e+01,,3.604400e-04,55.00,0.080
46,5.974890e+01,,3.684320e-04,55.00,0.077
47,6.092929e+01,,3.764240e-04,48.00,0.083
48,8.729172e+01,,3.844160e-04,48.00,0.082
49,8.100044e+01,,3.924080e-04,57.00,0.085
50,5.568070e+01,,4.004000e-04,57.00,0.083
51,5.500326e+01,,4.083920e-04,48.00,0.087
52,5.987584e+01,,4.163840e-04,48.00,0.084
53,6.887679e+01,,4.243760e-04,48.00,0.084
54,5.872460e+01,,4.323680e-04,46.00,0.082
55,5.355463e+01,,4.403600e-04,46.00,0.087
56,5.884609e+01,,4.483520e-04,52.00,0.079
57,5.022639e+01,,4.563440e-04,52.00,0.079
58,4.882976e+01,,4.643360e-04,52.00,0.083
59,5.414759e+01,,4.723280e-04,48.00,0.084
60,3.967629e+01,,4.803200e-04,48.00,0.082
61,4.203062e+01,,4.883120e-04,58.00,0.085
62,6.161390e+01,,4.963040e-04,58.00,0.084
